,job url,title,company name,exp,location,skill,salary,details
0,https://www.naukri.com/job-listings-Cloud-Automation-Testing-with-Python-Arnold-Consulting-Private-Limited-Bengaluru-1-to-3-years-031018001738?src=jobsearchDesk&sid=15631999005358&xp=1&px=1,Cloud Automation Testing with Python,Arnold Consulting Private Limited,1-3 yrs,Bengaluru,"Cloud Testing, Automation Testing, PYTHON"," INR 3,00,000 - 4,00,000 PA.   "," Posted  by     Cyril Nazareth    , Just Now "
1,https://www.naukri.com/job-listings-Python-Scripting-Accenture-Bengaluru-4-to-8-years-120719009458?src=jobsearchDesk&sid=15631999005358&xp=2&px=1,Python Scripting,Accenture,4-8 yrs,Bengaluru,"Business process, Change management, NoSQL, TDD, Debugging, Outsourcing...",  Not disclosed  ," Posted  by     HR    , Today "
2,https://www.naukri.com/job-listings-Senior-SE-Platform-Python-AWS-Kafka-Ansible-2-5-Years-Tracxn-Technologies-Pvt-Ltd-Bengaluru-2-to-5-years-150719003547?src=jobsearchDesk&sid=15631999005358&xp=3&px=1,Senior SE - Platform - Python / AWS / Kafka / Ansible (2-5 Years),Tracxn Technologies Pvt Ltd,2-5 yrs,Bengaluru,"Nginx, Queuing System, Docker, Service Discovery, Chef, Ansible, Kafka...",  Not disclosed  , Posted     Today 
3,https://www.naukri.com/job-listings-Software-Developer-Python-Django-Fresher-Contify-Delhi-0-to-1-years-150719906034?src=jobsearchDesk&sid=15631999005358&xp=4&px=1,Software Developer - Python/ Django - Fresher,Contify,0-1 yrs,Delhi,"Python, Django, PostgreSQL, Solr, jQuery, Software Developer",  Not disclosed  ," Posted  by     HR    , Just Now "
4,https://www.naukri.com/job-listings-Python-Developer-noida-Realtime-Manpower-Noida-2-to-4-years-150719004931?src=jobsearchDesk&sid=15631999005358&xp=5&px=1,Python Developer - (noida),Realtime Manpower,2-4 yrs,Noida,"javascript, python, web technologies, data cleansing, web scraping..."," INR 3,50,000 - 5,50,000 PA.   "," Posted  by       Realtime Manpower    , Few Hours Ago "
5,https://www.naukri.com/job-listings-Python-Specialist-API-Design-amp-Development-pune-Lcoation-Xoriant-Solutions-Pvt-Ltd-Pune-5-to-9-years-150719004641?src=jobsearchDesk&sid=15631999005358&xp=6&px=1,Python Specialist : API Design & Development :pune Lcoation,Xoriant Solutions Pvt Ltd,5-9 yrs,Pune,"Design Development, Python, Python Developer, API, Golang",  Not disclosed  ," Posted  by     Venkat N Ram    , Few Hours Ago "
6,https://www.naukri.com/job-listings-Senior-Python-Developer-BEO-Software-Private-Limited-Kochi-3-to-6-years-150719006204?src=jobsearchDesk&sid=15631999005358&xp=7&px=1,Senior Python Developer,BEO Software Private Limited,3-6 yrs,Kochi,"python developer, Django, Javascript, HTML, CSS",  Not disclosed  ," Posted  by       Neenu Shaji    , Few Hours Ago "
7,https://www.naukri.com/job-listings-Python-Fullstack-Developer-Invesco-India-Pvt-Ltd-Hyderabad-4-to-7-years-150719006919?src=jobsearchDesk&sid=15631999005358&xp=8&px=1,Python Fullstack Developer,Invesco (India) Pvt Ltd,4-7 yrs,Hyderabad,"javascript, html, ajax, mysql, bootstrap, web development, nosql..."," INR 4,25,000 - 9,25,000 PA.   "," Posted  by       Vatsala Gulyani    , Few Hours Ago "
8,https://www.naukri.com/job-listings-Urgent-Req-python-Developers-mumbai-DECIMAL-POINT-ANALYTICS-PRIVATE-LIMITED-Mumbai-4-to-9-years-150719004558?src=jobsearchDesk&sid=15631999005358&xp=9&px=1,Urgent Req-python Developers-mumbai,DECIMAL POINT ANALYTICS PRIVATE LIMITED,4-9 yrs,Mumbai,"Python Developer, Django, Flask, HTML, CSS, MySQL, MS SQL, Postgresql, MVC,...",  Not disclosed  ," Posted  by     Pooja Revandkar    , Few Hours Ago "
9,https://www.naukri.com/job-listings-Python-Senior-Engineer-Indecomm-Global-Services-India-Pvt-Ltd-Bengaluru-4-to-7-years-110719907050?src=jobsearchDesk&sid=15631999005358&xp=10&px=1,Python - Senior Engineer,Indecomm Global Services India Pvt Ltd,4-7 yrs,Bengaluru,"MongoDB, NoSQL, JSON, SQL Database, XML, Python, Database Design...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
10,https://www.naukri.com/job-listings-Opportunity-exponentia-Datalabs-For-Python-Developer-Exponentia-Datalabs-Pvt-Ltd-Mumbai-2-to-7-years-150719002966?src=jobsearchDesk&sid=15631999005358&xp=11&px=1,Opportunity @exponentia Datalabs For Python Developer,Exponentia Datalabs Pvt. Ltd,2-7 yrs,Mumbai,"Django, Python, Javascript, CSS, Algorithms, NoSQL, SQL Database...",  Not disclosed  ," Posted  by       Trupti Koli    , Today "
